iter	Passed	Remaining
442	1256	1579
443	1258	1576
444	1261	1572
445	1263	1569
446	1266	1566
447	1269	1564
448	1272	1561
449	1274	1558
450	1277	1555
451	1280	1552
452	1282	1549
453	1285	1546
454	1289	1544
455	1292	1541
456	1297	1541
457	1300	1539
458	1303	1536
459	1306	1534
460	1309	1531
461	1312	1528
462	1315	1525
463	1318	1522
464	1321	1520
465	1324	1517
466	1327	1514
467	1330	1512
468	1334	1510
469	1336	1507
470	1339	1504
471	1342	1501
472	1345	1498
473	1347	1495
474	1350	1492
475	1353	1489
476	1355	1486
477	1358	1483
478	1360	1480
479	1364	1477
480	1366	1474
481	1369	1471
482	1372	1468
483	1374	1465
484	1377	1462
485	1380	1459
486	1383	1457
487	1385	1453
488	1388	1450
489	1391	1447
490	1393	1444
491	1396	1441
492	1399	1438
493	1401	1435
494	1404	1432
495	1407	1429
496	1409	1426
497	1412	1423
498	1415	1420
499	1418	1418
500	1421	1415
501	1423	1412
502	1426	1409
503	1429	1406
504	1431	1403
505	1434	1400
506	1437	1397
507	1440	1394
508	1442	1391
509	1445	1389
510	1448	1386
511	1451	1383
512	1454	1380
513	1456	1377
514	1459	1374
515	1462	1371
516	1465	1368
517	1467	1365
518	1470	1362
519	1472	1359
520	1475	1356
521	1478	1353
522	1480	1350
523	1483	1347
524	1486	1345
525	1489	1342
526	1492	1339
527	1494	1336
528	1497	1333
529	1500	1330
530	1502	1327
531	1505	1324
532	1508	1321
533	1510	1318
534	1513	1315
535	1516	1312
536	1518	1309
537	1521	1306
538	1524	1303
539	1526	1300
540	1529	1297
541	1532	1294
542	1535	1291
543	1537	1289
544	1540	1286
545	1543	1283
546	1545	1279
547	1548	1277
548	1550	1274
549	1553	1271
550	1556	1268
551	1558	1265
552	1561	1262
553	1564	1259
554	1566	1256
555	1569	1253
556	1572	1250
557	1574	1247
558	1577	1244
559	1580	1241
560	1582	1238
561	1585	1235
562	1588	1232
563	1590	1229
564	1594	1227
565	1598	1226
566	1602	1223
567	1605	1221
568	1608	1218
569	1610	1215
570	1613	1212
571	1616	1209
572	1618	1206
573	1621	1203
574	1624	1200
575	1626	1197
576	1629	1194
577	1632	1191
578	1634	1188
579	1637	1185
580	1640	1182
581	1642	1180
582	1645	1177
583	1648	1174
584	1651	1171
585	1653	1168
586	1656	1165
587	1659	1162
588	1661	1159
589	1664	1156
590	1667	1153
591	1669	1150
592	1672	1147
593	1674	1144
594	1677	1141
595	1680	1138
596	1682	1135
597	1685	1133
598	1688	1130
599	1690	1127
600	1693	1124
601	1696	1121
602	1698	1118
603	1701	1115
604	1703	1112
605	1706	1109
606	1709	1106
607	1712	1103
608	1714	1101
609	1717	1098
610	1720	1095
611	1723	1092
612	1725	1089
613	1728	1086
614	1730	1083
615	1733	1080
616	1736	1077
617	1738	1074
618	1741	1071
619	1744	1069
620	1746	1066
621	1749	1063
622	1752	1060
623	1754	1057
624	1757	1054
625	1760	1051
626	1762	1048
627	1765	1045
628	1768	1042
629	1770	1040
630	1773	1037
631	1776	1034
632	1778	1031
633	1781	1028
634	1784	1025
635	1787	1022
636	1789	1019
637	1792	1017
638	1795	1014
639	1797	1011
640	1800	1008
641	1803	1005
642	1805	1002
643	1808	999
644	1811	996
645	1814	994
646	1816	991
647	1819	988
648	1821	985
649	1824	982
650	1828	980
651	1830	977
652	1833	974
653	1836	971
654	1838	968
655	1841	965
656	1843	962
657	1846	959
658	1849	956
659	1851	953
660	1854	951
661	1857	948
662	1859	945
663	1862	942
664	1865	939
665	1868	936
666	1870	933
667	1873	931
668	1875	928
669	1878	925
670	1881	922
671	1883	919
672	1886	916
673	1889	913
674	1891	910
675	1894	907
676	1897	905
677	1899	902
678	1902	899
679	1905	896
680	1908	893
681	1910	890
682	1913	888
683	1916	885
684	1918	882
685	1921	879
686	1924	876
687	1927	873
688	1930	871
689	1932	868
690	1935	865
691	1938	862
692	1940	859
693	1943	857
694	1946	854
695	1949	851
696	1952	848
697	1954	845
698	1957	843
699	1960	840
700	1963	837
701	1966	834
702	1969	831
703	1971	829
704	1974	826
705	1978	823
706	1980	820
707	1983	818
708	1986	815
709	1989	812
710	1991	809
711	1994	806
712	1997	804
713	2000	801
714	2003	798
715	2005	795
716	2009	792
717	2011	790
718	2014	787
719	2018	784
720	2020	782
721	2023	779
722	2026	776
723	2029	773
724	2031	770
725	2034	767
726	2037	765
727	2040	762
728	2043	759
729	2046	756
730	2049	754
731	2051	751
732	2056	748
733	2058	746
734	2061	743
735	2064	740
736	2067	737
737	2070	735
738	2073	732
739	2079	730
740	2082	727
741	2085	725
742	2088	722
743	2093	720
744	2097	717
745	2101	715
746	2105	713
747	2109	710
748	2112	708
749	2116	705
750	2120	703
751	2124	700
752	2127	697
753	2130	695
754	2134	692
755	2139	690
756	2143	687
757	2145	685
758	2148	682
759	2151	679
760	2156	677
761	2159	674
762	2162	671
763	2166	669
764	2171	666
765	2174	664
766	2177	661
767	2181	658
768	2184	656
769	2188	653
770	2190	650
771	2193	647
772	2197	645
773	2202	643
774	2206	640
775	2209	637
776	2213	635
777	2218	633
778	2222	630
779	2225	627
780	2229	625
781	2232	622
782	2235	619
783	2237	616
784	2240	613
785	2243	610
786	2246	608
787	2249	605
788	2252	602
789	2254	599
790	2257	596
791	2260	593
792	2263	590
793	2266	587
794	2269	585
795	2271	582
796	2274	579
797	2277	576
798	2280	573
799	2282	570
800	2286	568
801	2289	565
802	2293	562
803	2298	560
804	2301	557
805	2303	554
806	2306	551
807	2309	548
808	2312	545
809	2314	542
810	2317	540
811	2320	537
812	2323	534
813	2326	531
814	2328	528
815	2331	525
816	2334	522
817	2337	520
818	2340	517
819	2343	514
820	2345	511
821	2348	508
822	2351	505
823	2354	502
824	2357	500
825	2360	497
826	2363	494
827	2366	491
828	2370	488
829	2373	486
830	2377	483
831	2379	480
832	2384	477
833	2387	475
834	2390	472
835	2393	469
836	2396	466
837	2401	464
838	2404	461
839	2407	458
840	2410	455
841	2415	453
842	2419	450
843	2421	447
844	2424	444
845	2427	441
846	2431	439
847	2434	436
848	2437	433
849	2440	430
850	2443	427
851	2446	425
852	2449	422
853	2452	419
854	2455	416
855	2459	413
856	2463	410
857	2466	408
858	2469	405
859	2471	402
860	2474	399
861	2477	396
862	2480	393
863	2483	390
864	2485	387
865	2488	385
866	2492	382
867	2495	379
868	2497	376
869	2500	373
870	2503	370
871	2506	367
872	2509	365
873	2512	362
874	2515	359
875	2519	356
876	2523	353
877	2527	351
878	2530	348
879	2533	345
880	2536	342
881	2538	339
882	2541	336
883	2544	333
884	2547	331
885	2550	328
886	2554	325
887	2557	322
888	2560	319
889	2563	316
890	2566	313
891	2571	311
892	2574	308
893	2577	305
894	2579	302
895	2582	299
896	2586	296
897	2589	294
898	2591	291
899	2594	288
900	2597	285
901	2601	282
902	2604	279
903	2607	276
904	2609	273
905	2612	271
906	2615	268
907	2618	265
908	2621	262
909	2623	259
910	2626	256
911	2629	253
912	2632	250
913	2635	247
914	2637	245
915	2640	242
916	2643	239
917	2646	236
918	2648	233
919	2651	230
920	2654	227
921	2656	224
922	2659	221
923	2662	218
924	2665	216
925	2668	213
926	2670	210
927	2673	207
928	2676	204
929	2678	201
930	2681	198
931	2684	195
932	2686	192
933	2689	190
934	2692	187
935	2695	184
936	2697	181
937	2700	178
938	2703	175
939	2706	172
940	2708	169
941	2711	166
942	2714	164
943	2717	161
944	2719	158
945	2722	155
946	2725	152
947	2728	149
948	2730	146
949	2733	143
950	2736	140
951	2738	138
952	2741	135
953	2744	132
954	2748	129
955	2752	126
956	2755	123
957	2758	120
958	2761	118
959	2765	115
960	2768	112
961	2771	109
962	2774	106
963	2777	103
964	2780	100
965	2783	97
966	2786	95
967	2789	92
968	2791	89
969	2794	86
970	2797	83
971	2799	80
972	2802	77
973	2805	74
974	2808	72
975	2810	69
976	2813	66
977	2816	63
978	2819	60
979	2821	57
980	2824	54
981	2827	51
982	2829	48
983	2832	46
984	2834	43
985	2838	40
986	2842	37
987	2845	34
988	2848	31
989	2850	28
990	2853	25
991	2856	23
992	2858	20
993	2861	17
994	2864	14
995	2867	11
996	2869	8
997	2872	5
998	2875	2
999	2878	0
