iter	Logloss
0	0.6855179216
1	0.6774155526
2	0.6683993489
3	0.6617547001
4	0.65478757
5	0.6445692746
6	0.6368348322
7	0.6274303545
8	0.6176176726
9	0.6071568103
10	0.600932855
11	0.5940347368
12	0.5892711135
13	0.5813634137
14	0.5756370909
15	0.5663043003
16	0.5583074433
17	0.5536685789
18	0.5490125633
19	0.5422751343
20	0.5359945579
21	0.5275107784
22	0.5217408861
23	0.5167171886
24	0.5114023567
25	0.5077409247
26	0.5027729081
27	0.4973526817
28	0.4924180169
29	0.4852349571
30	0.4813081884
31	0.4744036078
32	0.4711654945
33	0.4660627967
34	0.4627215423
35	0.4585324247
36	0.4538902068
37	0.4505841489
38	0.446401755
39	0.4408596074
40	0.4366527998
41	0.4309514158
42	0.42539199
43	0.4219971938
44	0.4171218743
45	0.4137531159
46	0.4099285089
47	0.4055542845
48	0.4016992942
49	0.3982806218
50	0.3959654442
51	0.3932367532
52	0.3900689204
53	0.3853816098
54	0.3830169613
55	0.3795475978
56	0.3756148734
57	0.3732699483
58	0.3695137378
59	0.3655493509
60	0.3628616404
61	0.3596822542
62	0.3564547381
63	0.3540083498
64	0.3514017651
65	0.3490007101
66	0.346358196
67	0.3443723288
68	0.3417820198
69	0.3392478665
70	0.3363203961
71	0.3343946759
72	0.3319453427
73	0.3300337661
74	0.3269126578
75	0.3246340485
76	0.3224996882
77	0.3205302128
78	0.3183489325
79	0.3160986502
80	0.3139841521
81	0.3119148711
82	0.3098479233
83	0.3077955787
84	0.3056939598
85	0.3040012991
86	0.3011710796
87	0.299448259
88	0.2974728149
89	0.2952924897
90	0.2931673419
91	0.2913245251
92	0.2891572275
93	0.2866767198
94	0.2847336006
95	0.2832530028
96	0.281145433
97	0.2788159254
98	0.2767486887
99	0.2749011449
100	0.2730094239
101	0.2717016319
102	0.2702252748
103	0.2685683713
104	0.2667880805
105	0.2649060825
106	0.2634648514
107	0.2612108482
108	0.2598245347
109	0.2574797157
110	0.255811633
111	0.2543022365
112	0.2523862477
113	0.2506763574
114	0.2488932686
115	0.2475276656
116	0.2460013172
117	0.2452499945
118	0.2433578226
119	0.2414329457
120	0.2399348917
121	0.2386520542
122	0.2370105544
123	0.2355708782
124	0.2342067708
125	0.2330044768
126	0.2314476065
127	0.2294775631
128	0.227930706
129	0.2261401631
130	0.2244327939
131	0.2232935696
132	0.2225662908
133	0.2207707936
134	0.219646202
135	0.2180368316
136	0.2169048928
137	0.2155243667
138	0.2143484063
139	0.2130506364
140	0.2114828652
141	0.2099604648
142	0.2090626368
143	0.207824265
144	0.2067486954
145	0.2054958011
146	0.2046230743
147	0.2034179386
148	0.2026685188
149	0.2017251765
150	0.2009727857
151	0.1997227218
152	0.1987627107
153	0.1975005553
154	0.1966225472
155	0.1954776519
156	0.1937344185
157	0.1926304626
158	0.1916975866
159	0.1905297439
160	0.189382068
161	0.188176558
162	0.1866047131
163	0.1854171815
164	0.1839740921
165	0.1830650488
166	0.1826097764
167	0.1809209488
168	0.1796884279
169	0.178721209
170	0.1776850975
171	0.176551988
172	0.175313957
173	0.1742509121
174	0.1732398564
175	0.1721670394
176	0.171169607
177	0.1702038931
178	0.1694158813
179	0.1682271963
180	0.1672838719
181	0.1662003941
182	0.1653520638
183	0.1645564533
184	0.1636143006
185	0.1627437705
186	0.1620188401
187	0.1610009738
188	0.1603403464
189	0.1595974468
190	0.1584340364
191	0.157353171
192	0.1567884352
193	0.1559355936
194	0.1551836892
195	0.1545264165
196	0.1536748631
197	0.1529030593
198	0.1523126488
199	0.1513329449
200	0.1507206005
201	0.1496760694
202	0.1490245336
203	0.1480195567
204	0.147277404
205	0.1465015192
206	0.1455956834
207	0.1450995517
208	0.1441106755
209	0.1431275372
210	0.1423691813
211	0.1413130124
212	0.1407247267
213	0.139957551
214	0.1393254723
215	0.1387141484
216	0.1381223122
217	0.1375551946
218	0.1367941506
219	0.1363498008
220	0.1358085184
221	0.1349565761
222	0.1342344086
223	0.1336527871
224	0.1330757827
225	0.1324867244
226	0.1314752081
227	0.1309597167
228	0.1303210619
229	0.1297278922
230	0.1291827591
231	0.1284973056
232	0.1275434293
233	0.1267159864
234	0.1261081601
235	0.1254190319
236	0.1249426376
237	0.1245920874
238	0.1239319945
239	0.1232741423
240	0.1226216827
241	0.1218656145
242	0.1210520602
243	0.1204065682
244	0.119858947
245	0.1195042116
246	0.118922645
247	0.1182690433
248	0.1176324417
249	0.1171142244
250	0.1165763456
251	0.115927041
252	0.1155945642
253	0.114935864
254	0.1144138989
255	0.1138678792
256	0.1133603437
257	0.1128265509
258	0.1122564858
259	0.1116391648
260	0.1111507981
261	0.1105608334
262	0.1100088663
263	0.1094996521
264	0.1087795298
265	0.1083123566
266	0.1075783711
267	0.1069938317
268	0.1064177837
269	0.1059842077
270	0.1054736642
271	0.105055788
272	0.1045087768
273	0.1040560069
274	0.1034742685
275	0.1030029851
276	0.1026140218
277	0.1020967197
278	0.1014768923
279	0.1010842566
280	0.1006012844
281	0.1000837869
282	0.09972015297
283	0.09911824988
284	0.09870596027
285	0.09845546694
286	0.09769866218
287	0.096948571
288	0.09635699831
289	0.09580835545
290	0.09535920561
291	0.09470597775
292	0.09426780019
293	0.09394794895
294	0.09343810324
295	0.09305376036
296	0.092750586
297	0.09220511416
298	0.09187604476
299	0.09154789974
300	0.0910572346
301	0.09067468726
302	0.0902969565
303	0.0899034919
304	0.08942646247
305	0.08897955039
306	0.0885491522
307	0.08810231201
308	0.08771374947
309	0.08733804794
310	0.08696014118
311	0.08650511045
312	0.08617657319
313	0.08567973491
314	0.08534514224
315	0.08506988769
316	0.08465600102
317	0.08423228299
318	0.08378717473
319	0.08332144179
320	0.08299981867
321	0.08262811553
322	0.08223592496
323	0.08171989456
324	0.08132422473
325	0.0809586761
326	0.08060046254
327	0.08025449559
328	0.07981434383
329	0.07940018473
330	0.07902415396
331	0.07877187131
332	0.07844352249
333	0.07810313619
334	0.07763916565
335	0.07733009146
336	0.07694941212
337	0.07669686384
338	0.07621324151
339	0.07580722769
340	0.07569339228
341	0.075313033
342	0.07489113565
343	0.07452315462
344	0.07426338338
345	0.0737349567
346	0.07331568313
347	0.07299303949
348	0.07265626201
349	0.07224985299
350	0.07185139934
351	0.07152093522
352	0.07108317504
353	0.07060595038
354	0.07025313407
355	0.06977284457
356	0.06942452864
357	0.06895876937
358	0.06860148463
359	0.06833724703
360	0.06799437035
361	0.06761044663
362	0.06728449175
